"filename", "language", "SQL", "XML", "Java Properties", "Java", "Batch", "comment", "blank", "total"
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaProductos$2.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaProductos$3.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaProductos$4.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaProductos$5.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaProductos.class", "Java", 0, 0, 0, 109, 0, 21, 0, 130
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaUsuarios$1.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaUsuarios$2.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaUsuarios$3.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaUsuarios$4.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaUsuarios$5.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaUsuarios.class", "Java", 0, 0, 0, 122, 0, 30, 0, 152
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_CrearBackup$1.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_CrearBackup$2.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_CrearBackup$3.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_CrearBackup$4.class", "Java", 0, 0, 0, 14, 0, 0, 0, 14
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_CrearBackup.class", "Java", 0, 0, 0, 95, 0, 6, 0, 101
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_Escritorio$1.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_Escritorio$10.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_Escritorio$11.class", "Java", 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_Escritorio$12.class", "Java", 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_Escritorio$13.class", "Java", 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_Escritorio$14.class", "Java", 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_Escritorio$15.class", "Java", 0, 0, 0, 12, 0, 0, 0, 12
